dateId,dateType,fullDate,day,dayName,calendarDayOfWeek,noncalendarDayOfWeek,dayOfQuarter,dayOfYear,monthDay
20190101,Date,1/1/2019,1,Tuesday,3,1,1,1,1-Jan
20190102,Date,1/2/2019,2,Wednesday,4,2,2,2,2-Jan
20190103,Date,1/3/2019,3,Thursday,5,3,3,3,3-Jan
20190104,Date,1/4/2019,4,Friday,6,4,4,4,4-Jan
20190105,Date,1/5/2019,5,Saturday,7,5,5,5,5-Jan
20190106,Date,1/6/2019,6,Sunday,1,6,6,6,6-Jan
20190107,Date,1/7/2019,7,Monday,2,7,7,7,7-Jan
20190108,Date,1/8/2019,8,Tuesday,3,1,8,8,8-Jan
20190109,Date,1/9/2019,9,Wednesday,4,2,9,9,9-Jan
20190110,Date,1/10/2019,10,Thursday,5,3,10,10,10-Jan
20190111,Date,1/11/2019,11,Friday,6,4,11,11,11-Jan
20190112,Date,1/12/2019,12,Saturday,7,5,12,12,12-Jan
20190113,Date,1/13/2019,13,Sunday,1,6,13,13,13-Jan
20190114,Date,1/14/2019,14,Monday,2,7,14,14,14-Jan
20190115,Date,1/15/2019,15,Tuesday,3,1,15,15,15-Jan
20190116,Date,1/16/2019,16,Wednesday,4,2,16,16,16-Jan
20190117,Date,1/17/2019,17,Thursday,5,3,17,17,17-Jan
20190118,Date,1/18/2019,18,Friday,6,4,18,18,18-Jan
20190119,Date,1/19/2019,19,Saturday,7,5,19,19,19-Jan
20190120,Date,1/20/2019,20,Sunday,1,6,20,20,20-Jan
20190121,Date,1/21/2019,21,Monday,2,7,21,21,21-Jan
20190122,Date,1/22/2019,22,Tuesday,3,1,22,22,22-Jan
20190123,Date,1/23/2019,23,Wednesday,4,2,23,23,23-Jan
20190124,Date,1/24/2019,24,Thursday,5,3,24,24,24-Jan
20190125,Date,1/25/2019,25,Friday,6,4,25,25,25-Jan
20190126,Date,1/26/2019,26,Saturday,7,5,26,26,26-Jan
20190127,Date,1/27/2019,27,Sunday,1,6,27,27,27-Jan
20190128,Date,1/28/2019,28,Monday,2,7,28,28,28-Jan
20190129,Date,1/29/2019,29,Tuesday,3,1,29,29,29-Jan
20190130,Date,1/30/2019,30,Wednesday,4,2,30,30,30-Jan
20190131,Date,1/31/2019,31,Thursday,5,3,31,31,31-Jan
20190201,Date,2/1/2019,1,Friday,6,4,32,32,1-Feb
20190202,Date,2/2/2019,2,Saturday,7,5,33,33,2-Feb
20190203,Date,2/3/2019,3,Sunday,1,6,34,34,3-Feb
20190204,Date,2/4/2019,4,Monday,2,7,35,35,4-Feb
20190205,Date,2/5/2019,5,Tuesday,3,1,36,36,5-Feb
20190206,Date,2/6/2019,6,Wednesday,4,2,37,37,6-Feb
20190207,Date,2/7/2019,7,Thursday,5,3,38,38,7-Feb
20190208,Date,2/8/2019,8,Friday,6,4,39,39,8-Feb
20190209,Date,2/9/2019,9,Saturday,7,5,40,40,9-Feb
20190210,Date,2/10/2019,10,Sunday,1,6,41,41,10-Feb
20190211,Date,2/11/2019,11,Monday,2,7,42,42,11-Feb
20190212,Date,2/12/2019,12,Tuesday,3,1,43,43,12-Feb
20190213,Date,2/13/2019,13,Wednesday,4,2,44,44,13-Feb
20190214,Date,2/14/2019,14,Thursday,5,3,45,45,14-Feb
20190215,Date,2/15/2019,15,Friday,6,4,46,46,15-Feb
20190216,Date,2/16/2019,16,Saturday,7,5,47,47,16-Feb
