monthNameDay,monthDayYear,monthNameDayYear,dayYear,yearQuarterMonthWeekDay,dayFrom1900,calendarWeekOfMonth,noncalendarWeekOfMonth,calendarWeekOfQuarter,noncalendarWeekOfQuarter
January 01,1/1/2019,"January 01, 2019",1/2019,2019101101,43464,0,1,0,1
January 02,1/2/2019,"January 02, 2019",2/2019,2019101102,43465,0,1,0,1
January 03,1/3/2019,"January 03, 2019",3/2019,2019101103,43466,0,1,0,1
January 04,1/4/2019,"January 04, 2019",4/2019,2019101104,43467,0,1,0,1
January 05,1/5/2019,"January 05, 2019",5/2019,2019101105,43468,0,1,0,1
January 06,1/6/2019,"January 06, 2019",6/2019,2019101106,43469,1,1,1,2
January 07,1/7/2019,"January 07, 2019",7/2019,2019101107,43470,1,1,1,2
January 08,1/8/2019,"January 08, 2019",8/2019,2019101208,43471,1,2,1,2
January 09,1/9/2019,"January 09, 2019",9/2019,2019101209,43472,1,2,1,2
January 10,1/10/2019,"January 10, 2019",10/2019,2019101210,43473,1,2,1,2
January 11,1/11/2019,"January 11, 2019",11/2019,2019101211,43474,1,2,1,2
January 12,1/12/2019,"January 12, 2019",12/2019,2019101212,43475,1,2,1,2
January 13,1/13/2019,"January 13, 2019",13/2019,2019101213,43476,2,2,2,3
January 14,1/14/2019,"January 14, 2019",14/2019,2019101214,43477,2,2,2,3
January 15,1/15/2019,"January 15, 2019",15/2019,2019101315,43478,2,3,2,3
January 16,1/16/2019,"January 16, 2019",16/2019,2019101316,43479,2,3,2,3
January 17,1/17/2019,"January 17, 2019",17/2019,2019101317,43480,2,3,2,3
January 18,1/18/2019,"January 18, 2019",18/2019,2019101318,43481,2,3,2,3
January 19,1/19/2019,"January 19, 2019",19/2019,2019101319,43482,2,3,2,3
January 20,1/20/2019,"January 20, 2019",20/2019,2019101320,43483,3,3,3,4
January 21,1/21/2019,"January 21, 2019",21/2019,2019101321,43484,3,3,3,4
January 22,1/22/2019,"January 22, 2019",22/2019,2019101422,43485,3,4,3,4
