monthNameDay,monthDayYear,monthNameDayYear,dayYear,yearQuarterMonthWeekDay,dayFrom1900,calendarWeekOfMonth,noncalendarWeekOfMonth,calendarWeekOfQuarter,noncalendarWeekOfQuarter
1-Jan,1/1/2019,1-Jan-19,19-Jan,2019101101,43466,0,1,0,1
2-Jan,1/2/2019,2-Jan-19,19-Feb,2019101102,43467,0,1,0,1
3-Jan,1/3/2019,3-Jan-19,19-Mar,2019101103,43468,0,1,0,1
4-Jan,1/4/2019,4-Jan-19,19-Apr,2019101104,43469,0,1,0,1
5-Jan,1/5/2019,5-Jan-19,19-May,2019101105,43470,0,1,0,1
6-Jan,1/6/2019,6-Jan-19,19-Jun,2019101106,43471,1,1,1,1
7-Jan,1/7/2019,7-Jan-19,19-Jul,2019101107,43472,1,1,1,1
8-Jan,1/8/2019,8-Jan-19,19-Aug,2019101208,43473,1,2,1,2
9-Jan,1/9/2019,9-Jan-19,19-Sep,2019101209,43474,1,2,1,2
10-Jan,1/10/2019,10-Jan-19,19-Oct,2019101210,43475,1,2,1,2
11-Jan,1/11/2019,11-Jan-19,19-Nov,2019101211,43476,1,2,1,2
12-Jan,1/12/2019,12-Jan-19,19-Dec,2019101212,43477,1,2,1,2
13-Jan,1/13/2019,13-Jan-19,13/2019,2019101213,43478,2,2,2,2
14-Jan,1/14/2019,14-Jan-19,14/2019,2019101214,43479,2,2,2,2
15-Jan,1/15/2019,15-Jan-19,15/2019,2019101315,43480,2,3,2,3
16-Jan,1/16/2019,16-Jan-19,16/2019,2019101316,43481,2,3,2,3
17-Jan,1/17/2019,17-Jan-19,17/2019,2019101317,43482,2,3,2,3
18-Jan,1/18/2019,18-Jan-19,18/2019,2019101318,43483,2,3,2,3
19-Jan,1/19/2019,19-Jan-19,19/2019,2019101319,43484,2,3,2,3
20-Jan,1/20/2019,20-Jan-19,20/2019,2019101320,43485,3,3,3,3
21-Jan,1/21/2019,21-Jan-19,21/2019,2019101321,43486,3,3,3,3
22-Jan,1/22/2019,22-Jan-19,22/2019,2019101422,43487,3,4,3,4
23-Jan,1/23/2019,23-Jan-19,23/2019,2019101423,43488,3,4,3,4
24-Jan,1/24/2019,24-Jan-19,24/2019,2019101424,43489,3,4,3,4
25-Jan,1/25/2019,25-Jan-19,25/2019,2019101425,43490,3,4,3,4
26-Jan,1/26/2019,26-Jan-19,26/2019,2019101426,43491,3,4,3,4
27-Jan,1/27/2019,27-Jan-19,27/2019,2019101427,43492,4,4,4,4
28-Jan,1/28/2019,28-Jan-19,28/2019,2019101428,43493,4,4,4,4
29-Jan,1/29/2019,29-Jan-19,29/2019,2019101529,43494,4,5,4,5
30-Jan,1/30/2019,30-Jan-19,30/2019,2019101530,43495,4,5,4,5
31-Jan,1/31/2019,31-Jan-19,31/2019,2019101531,43496,4,5,4,5
1-Feb,2/1/2019,1-Feb-19,32/2019,2019102101,43497,0,1,4,5
2-Feb,2/2/2019,2-Feb-19,33/2019,2019102102,43498,0,1,4,5
3-Feb,2/3/2019,3-Feb-19,34/2019,2019102103,43499,1,1,5,5
4-Feb,2/4/2019,4-Feb-19,35/2019,2019102104,43500,1,1,5,5
5-Feb,2/5/2019,5-Feb-19,36/2019,2019102105,43501,1,1,5,6
6-Feb,2/6/2019,6-Feb-19,37/2019,2019102106,43502,1,1,5,6
7-Feb,2/7/2019,7-Feb-19,38/2019,2019102107,43503,1,1,5,6
8-Feb,2/8/2019,8-Feb-19,39/2019,2019102208,43504,1,2,5,6
9-Feb,2/9/2019,9-Feb-19,40/2019,2019102209,43505,1,2,5,6
