dateId,dateType,fullDate,day,dayName,calendarDayOfWeek,noncalendarDayOfWeek,dayOfQuarter,dayOfYear,monthDay,monthNameDay,monthDayYear,monthNameDayYear,dayYear,yearQuarterMonthWeekDay,dayFrom1900,calendarWeekOfMonth,noncalendarWeekOfMonth,calendarWeekOfQuarter,noncalendarWeekOfQuarter,calendarWeekOfYear,noncalendarWeekOfYear,yearQuarterMonthWeek,month,monthName,monthOfQuarter,monthYear,monthNameYear,yearQuarterMonth,termCode,bannerTermCode,termFrom1900,quarter,quarterName,quarterYear,quarterNameYear,yearQuarter,year,quarterMonthWeekDay,quarterMonthWeek,quarterMonth,dayOfProcess,monthOfProcess,monthNameOfProcess,monthWeekOfProcess,monthDayOfProcess,monthWeekDayOfProcess,isLeapYear,processYear,startDateOfProcess
20190101,date,2019-01-01 00:00:00.000,1,Tuesday,3,1,1,1,January 01
20190102,date,2019-01-02 00:00:00.000,2,Wednesday,4,2,2,2,January 02
20190103,date,2019-01-03 00:00:00.000,3,Thursday,5,3,3,3,January 03
20190104,date,2019-01-04 00:00:00.000,4,Friday,6,4,4,4,January 04
20190105,date,2019-01-05 00:00:00.000,5,Saturday,7,5,5,5,January 05
20190106,date,2019-01-06 00:00:00.000,6,Sunday,1,6,6,6,January 06
20190107,date,2019-01-07 00:00:00.000,7,Monday,2,7,7,7,January 07
20190108,date,2019-01-08 00:00:00.000,8,Tuesday,3,1,8,8,January 08
20190109,date,2019-01-09 00:00:00.000,9,Wednesday,4,2,9,9,January 09
20190110,date,2019-01-10 00:00:00.000,10,Thursday,5,3,10,10,January 10
20190111,date,2019-01-11 00:00:00.000,11,Friday,6,4,11,11,January 11
20190112,date,2019-01-12 00:00:00.000,12,Saturday,7,5,12,12,January 12
20190113,date,2019-01-13 00:00:00.000,13,Sunday,1,6,13,13,January 13
20190114,date,2019-01-14 00:00:00.000,14,Monday,2,7,14,14,January 14
20190115,date,2019-01-15 00:00:00.000,15,Tuesday,3,1,15,15,January 15
20190116,date,2019-01-16 00:00:00.000,16,Wednesday,4,2,16,16,January 16
20190117,date,2019-01-17 00:00:00.000,17,Thursday,5,3,17,17,January 17
20190118,date,2019-01-18 00:00:00.000,18,Friday,6,4,18,18,January 18
20190119,date,2019-01-19 00:00:00.000,19,Saturday,7,5,19,19,January 19
20190120,date,2019-01-20 00:00:00.000,20,Sunday,1,6,20,20,January 20
20190121,date,2019-01-21 00:00:00.000,21,Monday,2,7,21,21,January 21
20190122,date,2019-01-22 00:00:00.000,22,Tuesday,3,1,22,22,January 22
20190123,date,2019-01-23 00:00:00.000,23,Wednesday,4,2,23,23,January 23
20190124,date,2019-01-24 00:00:00.000,24,Thursday,5,3,24,24,January 24
20190125,date,2019-01-25 00:00:00.000,25,Friday,6,4,25,25,January 25
