calendarWeekOfYear,noncalendarWeekOfYear,yearQuarterMonthWeek,month,monthName,monthOfQuarter,monthYear,monthNameYear,yearQuarterMonth,termCode,bannerTermCode,termFrom1900,quarter,quarterName,quarterYear,quarterNameYear,yearQuarter,year,quarterMonthWeekDay,quarterMonthWeek
0,1,20001011,1,January,1,1/2000,"January, 2000",2000101,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101101,1011
1,1,20001011,1,January,1,1/2000,"January, 2000",2000101,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101102,1011
1,1,20001011,1,January,1,1/2000,"January, 2000",2000101,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101103,1011
1,1,20001011,1,January,1,1/2000,"January, 2000",2000101,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101104,1011
1,1,20001011,1,January,1,1/2000,"January, 2000",2000101,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101105,1011
1,1,20001011,1,January,1,1/2000,"January, 2000",2000101,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101106,1011
1,1,20001011,1,January,1,1/2000,"January, 2000",2000101,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101107,1011
1,2,20001012,1,January,1,1/2000,"January, 2000",2000101,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101208,1012
2,2,20001012,1,January,1,1/2000,"January, 2000",2000101,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101209,1012
2,2,20001012,1,January,1,1/2000,"January, 2000",2000101,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101210,1012
2,2,20001012,1,January,1,1/2000,"January, 2000",2000101,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101211,1012
2,2,20001012,1,January,1,1/2000,"January, 2000",2000101,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101212,1012
2,2,20001012,1,January,1,1/2000,"January, 2000",2000101,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101213,1012
2,2,20001012,1,January,1,1/2000,"January, 2000",2000101,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101214,1012
2,3,20001013,1,January,1,1/2000,"January, 2000",2000101,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101315,1013
3,3,20001013,1,January,1,1/2000,"January, 2000",2000101,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101316,1013
3,3,20001013,1,January,1,1/2000,"January, 2000",2000101,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101317,1013
3,3,20001013,1,January,1,1/2000,"January, 2000",2000101,401,20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101318,1013
