bannerTermCode,termFrom1900,quarter,quarterName,quarterYear,quarterNameYear,yearQuarter,year,quarterMonthWeekDay,quarterMonthWeek
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101101,1011
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101102,1011
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101103,1011
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101104,1011
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101105,1011
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101106,1011
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101107,1011
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101208,1012
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101209,1012
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101210,1012
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101211,1012
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101212,1012
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101213,1012
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101214,1012
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101315,1013
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101316,1013
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101317,1013
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101318,1013
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101319,1013
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101320,1013
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101321,1013
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101422,1014
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101423,1014
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101424,1014
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101425,1014
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101426,1014
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101427,1014
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101428,1014
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101529,1015
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101530,1015
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,101531,1015
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102101,1021
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102102,1021
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102103,1021
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102104,1021
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102105,1021
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102106,1021
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102107,1021
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102208,1022
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102209,1022
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102210,1022
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102211,1022
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102212,1022
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102213,1022
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102214,1022
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102315,1023
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102316,1023
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102317,1023
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102318,1023
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102319,1023
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102320,1023
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102321,1023
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102422,1024
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102423,1024
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102424,1024
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102425,1024
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102426,1024
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102427,1024
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102428,1024
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,102529,1025
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103101,1031
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103102,1031
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103103,1031
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103104,1031
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103105,1031
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103106,1031
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103107,1031
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103208,1032
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103209,1032
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103210,1032
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103211,1032
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103212,1032
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103213,1032
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103214,1032
20002,200057,1,Q1,1/2000,Q1 2000,20001,2000,103315,1033
